datetime,q_cms,conc
02/09/2023 13:45:00,0.839608097,3.381842188
02/09/2023 16:00:00,0.862196848,3.398444996
02/09/2023 22:00:00,1.235400706,3.088786576
02/10/2023 04:00:00,4.551074749,2.831477966
02/10/2023 10:00:00,8.044071993,2.855690976
02/10/2023 16:00:00,9.170475876,2.942838262
02/11/2023 12:30:00,4.195211415,4.412933794
02/15/2023 14:00:00,2.415814553,4.563029319
02/16/2023 10:30:00,3.60832028,2.799193954
02/17/2023 13:30:00,2.571286821,0.280558122
03/22/2023 15:00:00,2.074181954,4.427121942
03/22/2023 18:00:00,3.456882575,4.505046171
03/23/2023 00:00:00,3.750368678,3.643501718
03/23/2023 06:00:00,2.876249514,4.921698141
03/23/2023 12:00:00,2.721355135,4.715489115
03/23/2023 18:00:00,7.263062316,3.597835902
03/24/2023 00:00:00,8.576009458,3.074543954
03/24/2023 06:00:00,5.092463705,3.175406542
03/24/2023 12:00:00,4.279127418,3.552598142
03/24/2023 15:45:00,4.084781582,3.755306838
03/24/2023 18:00:00,4.209132235,3.712073868
03/25/2023 10:00:00,2.710476337,4.18302368
03/31/2023 14:00:00,1.485378126,2.721458339
03/31/2023 20:00:00,1.563880944,2.87493062
04/01/2023 02:00:00,1.685936279,2.94296131
04/01/2023 08:00:00,2.074181954,2.81090343
04/01/2023 14:00:00,3.296951863,2.10565387
04/01/2023 20:00:00,3.582825796,1.861786026
04/02/2023 02:00:00,3.419595445,1.701948468
04/02/2023 08:00:00,2.876249514,1.583787628
04/11/2023 13:30:00,1.379294632,2.853040983
